Source,City,State,Date,Link,Item(s),Age,Gender,Race,Profession,Perpetrator/Victim/Other,Crime,Notes
NYT,New York,New York,1/16/1870,https://www.nytimes.com/1870/01/16/archives/troubles-of-a-prima-donna-a-fair-songstress-and-her-lover-arrested.html,money,young,f,Russian,Prima Donna,Perpetrator,Theft,
Delaware County Republican,Upper Chichester,Pennsylvania,1/28/1870,https://accessible.com/accessible/emailedURL?AADoc=DELAWARECOUNTYREPUBLICAN.DE1870012814.25197,"handkerchief, money",20,f,light complexion,,Victim,Sudden death,Dead body
NYT,Piqua,Ohio,2/14/1870,https://timesmachine.nytimes.com/timesmachine/1870/02/14/80255301.html?pageNumber=1,gun,young,f,,,Perpetrator,Attempted Murder,
Massachusetts Ploughman and New England Journal of Agriculture (1842-1906),New York,New York,8/6/1870,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/mysterious-murder/docview/136319687/se-2?accountid=9959,"watch, key",,m,,retired broker,Victim,Murder,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,"money, stocks, bond",,m,,,Victim,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,watch,,m,,,Victim,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,watch,,m,,,Victim,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,gun,,m,,Fence (stolen goods),Perpetrator,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,jewelery,,m,,,Perpetrator,Theft,
The Youth's Companion (1827-1929),Boston,Massachusetts,1/19/1871,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/injustice-poor-girl/docview/127036360/se-2?accountid=9959,fabric,16,f,German,Fringe and trimming factory employee,Victim,Theft,Accidental misunderstanding
The Revolution,Brooklyn,New York,3/2/1871,https://accessible.com/accessible/emailedURL?AADoc=THEREVOLUTION.RV1871030203.00003,ring,,f,,,Victim,Theft,pickpocket
Knoxville daily chronicle. [volume],Knoxville,Tennessee,3/8/1871,https://chroniclingamerica.loc.gov/lccn/sn85033437/1871-03-08/ed-1/seq-1/#words=of+her+pockets,"wine, lace, baby dresses, trimming, glove, stockings, figured glass, earings, Bible",,f,,,Perpetrator,Shoplifting,Commented that it was a lot to carry
Christian Advocate (1866-1905),New York,New York,4/20/1871,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/sad-death-minister/docview/125958155/se-2?accountid=9959,"money, memorandum book, eyeglasses, contract with Chippewa Indians",,m,,Reverend,Victim,Sudden death,
Maine Farmer (1844-1900),Augusta,Maine,9/23/1871,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/article-10-no-title/docview/135666137/se-2?accountid=9959,"watch, chain, locket",27,f,,Reverend's Wife,Victim,Missing Person,
Semi-weekly Louisianian. [volume],New Orleans,Louisiana,12/24/1871,https://chroniclingamerica.loc.gov/lccn/sn83016631/1871-12-24/ed-1/seq-4/#words=on+his+person,gun,,m,Black,,Witness,Murder,
Maine Farmer (1844-1900),Augusta,Maine,5/25/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/article-6-no-title/docview/135724050/se-2?accountid=9959,"bond, money, gold",,f,,Mental Patient,Act of insanity,Act of insanity,
